Dialogue_ID,Utterance_ID,Knowledge
0,0,
0,1,
0,2,"[""Absolutely.\n\nMonica Geller: Yeah, right!.......Y'serious?"", ""Absolutely.\n\nMonica Geller: It's like an ice cream sundae. The whipped cream, the cherry, the chocolate chips...\nJoey Tribbiani: Oh, yeah!\nPhoebe Buffay: Mm-hmm!"", 'Yeah, I mean, think about it. It\'s like, the most intimate thing you can do, besides saying ""I love you.""\n\nMonica Geller: What you guys don\'t understand is, for us, kissing is as important as any part of it.\nJoey Tribbiani: Yeah', ""Yeah, it's true.\n\nMonica Geller: You guys don't understand that, for us, kissing is as important as any part of it."", ""Yeah, it's true.\n\nMonica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.\nJoey Tribbiani: Yeah, right!\nPhoebe Buffay: Yeah, it's true."", ""Absolutely.\n\nMonica Geller: You guys don't understand that, for us, kissing is as important as any part of it."", 'Yeah, I mean, it\'s the first thing you do. It\'s like, ""Hi, nice to meet you. Now, let\'s stick our tongues down each other\'s throats.""\n\nMonica Geller: What you guys don\'t understand is, for us, kissing is as important as any part of', ""Yeah, it's true.\n\nMonica Geller: Yeah, it's true."", ""Absolutely.\n\nMonica Geller: It's true!""]"
1,0,
1,1,
1,2,
1,3,"[""It's true!\n\nMonica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.\nJoey Tribbiani: Yeah, right!\nPhoebe Buffay: Oh, yeah!\nRachel Green: It's true!"", ""Absolutely!\n\nMonica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.\nJoey Tribbiani: Yeah, right!\nPhoebe Buffay: Oh, yeah!\nRachel Green: Absolutely!"", ""Absolutely!\n\nMonica Geller: It's like an opening act, it's the very first step in the whole seduction process."", ""Absolutely!\n\nMonica Geller: It's like, you know, the more you do it, the more you wanna do it.\nJoey Tribbiani: Yeah, right!.......Y'serious?\nPhoebe Buffay: Oh, yeah!\nRachel Green: Absolutely!"", ""Absolutely!\n\nMonica Geller: It's like, if we don't have that, then the whole thing is pointless.""]"
2,0,
2,1,
2,2,
2,3,
2,4,"[""That's why I'm so glad Ross and I had our first kiss when we were sober.\n\nMonica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.\nJoey Tribbiani: Yeah, right!\nMonica Geller:"", ""That's why I'm so particular about who I kiss.\n\nMonica Geller: That's why I'm so particular about who I kiss."", 'Absolutely.\n\nMonica Geller: You guys are missing out!', ""Absolutely.\n\nMonica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.\nJoey Tribbiani: Yeah, right!\nMonica Geller: Y'serious?\nPhoebe Buffay: Oh, yeah!"", 'Absolutely.\n\nMonica Geller: I mean, you can tell everything about a relationship from a kiss.']"
3,0,
3,1,
3,2,
3,3,
3,4,
3,5,"[""I think you guys are forgetting one thing.\n\nChandler Bing: What's that?"", 'I agree with Joey.', ""Well, I think the first kiss is overrated.\n\nMonica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.\nJoey Tribbiani: Yeah, right!\nMonica Geller: Y'serious?\nPhoe"", ""I think you guys are forgetting something important here.\n\nMonica Geller: What you guys don't understand is, for us, kissing is as important as any part of it.\nJoey Tribbiani: Yeah, right!.......Y'serious?\nPhoebe Buffay: Oh,"", ""Well, I don't know. I mean, how do you know that you're not going to, you know, like the person?\n\nMonica Geller: You'll just know."", ""I think you guys are forgetting something.\n\nChandler Bing: What's that?"", 'I think you guys are forgetting one key element here.\n\nChandler Bing: The tongue!', ""I think I'm gonna be sick.\n\nChandler Bing: I think I'm gonna be sick.""]"
4,0,
4,1,
4,2,
4,3,
4,4,
4,5,
4,6,"[""Well, I don't know. I mean, how can you judge a relationship by just a kiss?\n\nMonica Geller: I mean, how can you judge a relationship by just a kiss?"", ""Well, I think that's a little harsh."", ""Well, I don't know. I mean, to me, kissing is like, uh, well, it's like y'know, the more you do it, the better it gets.\n\nMonica Geller: Absolutely."", ""Well, I don't know. I mean, how important can kissing be?\n\nMonica Geller: What you guys don't understand is, for us, kissing is as important as any part of it."", ""Yeah, well we don't all have Pink Floyd."", 'Okay, can we please not use Pink Floyd as an example for anything ever again?', 'Yeah, but...but...but...but the comedian is usually funny.', 'Hey, Pink Floyd is good!', ""Well, I don't know. I mean, how important can kissing be?\n\nMonica Geller: I think kissing is pretty important.""]"
5,0,
5,1,
5,2,
5,3,
5,4,
5,5,
5,6,
